timestamp,user,role,ip,action,status,resource,hour,flow_duration,total_fwd_packets,total_bwd_packets,flow_bytes_per_s,fwd_packet_length_mean,bwd_packet_length_mean,flow_iat_mean,fwd_psh_flags,syn_flag_count,rst_flag_count,ack_flag_count,down_up_ratio,active_mean,idle_mean,flow_packets_per_s,attack_type
2026-05-23T08:06:10.787197,alice,user,10.0.0.2,download_file,success,about,9,2210326.29,10,6,2593.27,551.53,403.82,299156.72,0,1,0,9,1.165,154951.15,459915.68,7.24,normal
2026-05-22T23:27:11.787197,unknown_user,user,45.33.22.11,script_injection,failed,user_settings,1,1215090.84,12,9,6090.92,1148.02,475.44,71896.93,3,2,1,12,1.303,190350.65,258799.85,17.28,xss
2026-05-01T02:08:12.787197,pentest_agent,unknown,45.33.22.11,login,failed,admin_panel,4,817203.58,181,52,7642.17,302.54,207.28,3176.81,1,4,3,103,1.622,58766.99,93741.81,285.12,brute_force
2026-05-17T08:32:25.787197,bob,user,10.0.0.2,login,failed,user_settings,10,2630581.56,9,6,2535.95,504.42,401.75,275170.39,1,1,0,8,1.139,149674.21,454670.3,5.7,normal
2026-05-01T21:51:41.787197,pentest_agent,unknown,103.24.21.10,data_transfer,success,backup,23,4983475.87,5,27,196028.24,379.92,1270.18,189426.94,1,2,1,21,11.218,323450.91,803141.2,6.42,data_exfiltration
2026-05-11T11:31:42.787197,bob,user,10.0.0.3,view_page,success,products,13,2534715.42,9,6,2331.15,518.8,372.86,263078.17,0,1,0,9,1.138,146924.99,470867.2,5.92,normal
2026-05-13T00:35:45.787197,scanner_99,unknown,182.21.4.9,download_file,failed,config,2,3632036.36,8,26,96905.48,375.0,1428.97,175008.27,1,2,0,19,7.114,286648.74,630357.43,9.36,malware
2026-05-17T14:52:42.787197,alice,user,10.0.0.2,login,success,home,16,2701654.72,7,6,2414.04,426.58,440.3,272549.26,1,1,0,9,1.147,145083.65,519988.61,4.81,normal
2026-05-26T03:11:45.787197,unknown_user,user,45.33.22.11,payload_delivery,success,config,5,4348309.44,9,22,92586.42,355.27,1456.08,177151.18,1,2,1,20,7.939,291351.69,658163.78,7.13,malware
2026-05-09T01:32:27.787197,bot_001,impersonator,45.33.22.11,download_file,failed,config,3,5021442.2,5,32,210110.52,417.73,1168.14,185343.43,1,1,0,22,12.09,285683.33,850415.53,7.37,data_exfiltration
2026-05-27T01:51:18.787197,hacker_xyz,unknown,182.21.4.9,directory_listing,failed,backup,3,940385.56,9,11,3916.94,776.57,985.47,60437.31,2,2,2,17,1.941,146589.46,208504.77,21.27,directory_traversal
2026-05-03T14:14:59.787197,bob,user,192.168.1.5,login,failed,home,16,2772000.08,8,6,2197.58,471.22,415.39,280994.05,0,1,0,9,1.141,152983.57,534938.72,5.05,normal
2026-05-22T07:08:27.787197,bob,user,10.0.0.3,api_call,success,user_settings,9,2713581.74,8,7,2396.72,503.06,391.06,267277.1,0,1,0,7,1.111,144039.57,454535.25,5.53,normal
2026-04-30T05:50:00.787197,scanner_99,unknown,45.33.22.11,service_detect,failed,home,7,210683.31,2,1,1423.09,109.42,55.5,10398.05,0,56,24,3,0.705,17177.55,51197.89,14.24,port_scan
2026-04-28T14:19:18.787197,bob,user,10.0.0.3,api_call,success,products,16,2591949.73,8,5,2409.02,538.9,399.5,274814.65,0,1,0,7,1.229,151629.68,483776.02,5.02,normal
2026-05-01T01:26:47.787197,bot_001,impersonator,103.24.21.10,credential_test,failed,api/data,3,581508.32,134,43,6894.55,251.64,207.13,2295.66,1,4,3,77,1.414,43971.54,83991.84,304.38,credential_stuffing
